РПХЦПЮЛЛЮ   МЮВЮКН   ПЮЯЯРНЪМХЕ   мнд
    зсз        2        300        20
    ткц        8        371        7
    ткц        8        707        7
    цем       10        953        1
    емф       11       1109        1
    мфд       12       1019        1
    мфд       12       1187        1
    дым       14        397        1
    те╗       20       1241        17
    боц       25        191        1
    нмк       29        851        1
    блв       37       1181        1
    оый       42        991        1
    шфе       49       1147        1
    сгч       54        739        1
    оюи       71        253        11
    внм       79        301        7
    нмм       80        301        7
    нмм       80        937        1
    гху       90        959        7
    опш       96       1121        19
    ужь       99        571        1
    унч      102        883        1
    хлс      105        679        7
    куя      108       1099        7
    фцр      121        751        1
    фцр      121       1069        1
    чхв      142        871        13
    хвх      143        389        1
    куф      147        889        7
    лът      150        857        1
    аее      165         61        1
    сдо      169        589        19
    тхс      184        311        1
    льг      190         23        1
    бяи      204        961        1
    шъъ      209         17        17
    ъсм      211        701        1
    смы      212        911        1
    чщь      220       1021        1
    иик      227        899        1
    икр      228        899        1
    взп      235        487        1
    нрт      239       1027        13
    тзщ      241        691        1
    фоа      248        169        13
    мщя      263        529        1
    ящп      265        497        7
    сьб      268        641        1
    ьбх      269        539        11
    емд      276        397        1
    эхц      283        503        1
    глх      289        301        7
    тшл      303        467        1
    лры      305        163        1
    ыиу      307        451        11
    эър      317        737        11
    ржн      319        893        19
    няф      321        223        1
    фэл      323        143        13
    лжм      325        463        1
    лжм      325        509        1
    эуз      328        211        1
    зэл      330        427        7
    зэл      330        853        1
    лъд      332        523        1
    фдщ      446         71        1
    ажф      466         91        13
    ажф      466        161        7
    ы╗к      493        247        19
    тгв      507        503        1
    ьтн      529        749        7
    жэъ      543        389        1
    эът      544        389        1
    хдф      562        151        1
    ясж      610        577        1
    туэ      624        301        7
    кию      639        127        1
    тив      645        523        1
    том      676        547        1
    м╗ф      678        577        1
    тйи      699        473        11
    пйп      710         91        13
    ыот      723        109        1
    ъкя      740        347        1
    цъь      746        439        1
    слн      749        437        19
    пне      766         83        1
    ьък      785        389        1
    ллф      797        221        17
    ажя      845         59        1
    жяш      846        227        1
    скф      859        391        17
    ╗еа      871         71        1
    пдв      874         17        17
    ияа      888        157        1
    млх      942        193        1
    лхб      943        137        1
    алх      946        257        1
    длп      964         59        1
    лпи      965        227        1
    хха     1028        221        17
    гие     1072        161        7
    енй     1074        133        19
    бжя     1093         61        1
    зб╗     1116        157        1
    дмс     1227         11        11
    хлы     1263         11        11
мнд = 7
